Define Name,Type,Address,Description
-XXLimitNView,BIT,{PLC}0@M0,
-XXLimitPView,BIT,{PLC}0@M1,
-XXPosView,WORD,{PLC}0@D0,
-XXTarPos,WORD,{PLC}0@D2,
-XXFeed,WORD,{PLC}0@D4,
-XXTarR,BIT,{PLC}0@M2,
-XXManualN,BIT,{PLC}0@M3,
-XXManualP,BIT,{PLC}0@M4,
-XXOn,BIT,{PLC}0@M5,
-XXRun,BIT,{PLC}0@M6,
-XXDirection,BIT,{PLC}0@M7,
-XXMinI,BIT,{PLC}0@X0,
-XXAlarmI,BIT,{PLC}0@X4,
-XXReadyI,BIT,{PLC}0@X10,
-XXPulseO,BIT,{PLC}0@Y0,
-MachineReady,BIT,{PLC}0@M8,
-DataState,WORD,{PLC}0@D7,
-Run,BIT,{PLC}0@M9,
-RunStop,BIT,{PLC}0@M10,
-RunReset,BIT,{PLC}0@M11,
-RunState,WORD,{PLC}0@D8,
-RunStateBase,WORD,{PLC}0@D9,
-RunStateGrab,WORD,{PLC}0@D10,
-RunStateFlip,WORD,{PLC}0@D11,
-FlipFoilIn,BIT,{PLC}0@M16,
-FlipEnd,BIT,{PLC}0@M17,
-RS485Index,WORD,{PLC}0@D12,
-SpindleFlipRun,BIT,{PLC}0@M18,
-SpindleBeltRun,BIT,{PLC}0@M19,
-SpindleFlip_W_HzValue0,WORD,{PLC}0@D53,
-SpindleBelt_W_HzValue1,WORD,{PLC}0@D54,
-SpindleFlip_W_RunValue2,WORD,{PLC}0@D55,
-SpindleBelt_W_RunValue3,WORD,{PLC}0@D56,
-SpindleFlip_R_HzValue4,WORD,{PLC}0@D57,
-SpindleBelt_R_HzValue5,WORD,{PLC}0@D58,
-SpindleFlip_R_SetHzValue6,WORD,{PLC}0@D59,
-SpindleBelt_R_SetHzValue7,WORD,{PLC}0@D60,
-SpindleFlip_R_BusVValue8,WORD,{PLC}0@D61,
-SpindleBelt_R_BusVValue9,WORD,{PLC}0@D62,
-SpindleFlip_R_OutVValue10,WORD,{PLC}0@D63,
-SpindleBelt_R_OutVValue11,WORD,{PLC}0@D64,
-SpindleFlip_R_OutCValue12,WORD,{PLC}0@D65,
-SpindleBelt_R_OutCValue13,WORD,{PLC}0@D66,
-GrabMoveStart,WORD,{PLC}0@D67,
-GrabMoveEnd,WORD,{PLC}0@D69,
-GrabMoveSpeed,WORD,{PLC}0@D71,
-GrabMoveAccelTime,WORD,{PLC}0@D73,
-GrabMoveDecelTime,WORD,{PLC}0@D74,
-GrabDownMin,BIT,{PLC}0@M36,
-GrabDownMax,BIT,{PLC}0@M37,
-GrabDown,BIT,{PLC}0@M38,
-GrabDownATimerDelay,WORD,{PLC}0@D75,
-GrabDownBTimerDelay,WORD,{PLC}0@D76,
-GrabDownCTimerDelay,WORD,{PLC}0@D77,
-GrabDownDTimerDelay,WORD,{PLC}0@D78,
-GrabOn1,BIT,{PLC}0@M39,
-GrabOn2,BIT,{PLC}0@M40,
-GrabOn3,BIT,{PLC}0@M41,
-GrabOn4,BIT,{PLC}0@M42,
-GrabOn5,BIT,{PLC}0@M43,
-GrabOnTimerDelay,WORD,{PLC}0@D79,
-GrabPump,BIT,{PLC}0@M44,
-GrabManualEnable,BIT,{PLC}0@M45,
-GrabStepReady,BIT,{PLC}0@M46,
-BaseEmpty,BIT,{PLC}0@M47,
-TestGrabDownEnable,BIT,{PLC}0@M50,
-GrabManualEnableOnI,BIT,{PLC}0@X13,
-RunResetI,BIT,{PLC}0@X14,
-RunI,BIT,{PLC}0@X15,
-RunFromHMI,BIT,{PLC}0@M51,
-RunResetFromHMI,BIT,{PLC}0@M52,
-AutoI,BIT,{PLC}0@X16,
-LayerCount,WORD,{PLC}0@D81,
-GrabDropAir1,BIT,{PLC}0@M53,
-GrabDropAir2,BIT,{PLC}0@M54,
-GrabDropAir3,BIT,{PLC}0@M55,
-GrabDropAir4,BIT,{PLC}0@M56,
-GrabDropAir5,BIT,{PLC}0@M57,
-GrabDropAirTimerDelay,WORD,{PLC}0@D83,
-BaseTop,BIT,{PLC}0@M58,
-BaseBottom,BIT,{PLC}0@M59,
-BaseDirection,WORD,{PLC}0@D84,
-BaseUpO,BIT,{PLC}0@Y23,
-BaseDownO,BIT,{PLC}0@Y24,
-DummyBOOL,BIT,{PLC}0@M60,
-DummyINT,WORD,{PLC}0@D85,
GrabMoveAccelTime,WORD,$M0,
GrabMoveDecelTime,WORD,$M1,
GrabMoveStart,WORD,$M2,
GrabMoveEnd,WORD,$M4,
GrabMoveSpeed,WORD,$M6,
SpindleFlipHz,WORD,$M8,
SpindleBeltHz,WORD,$M9,
GrabOnDelay,WORD,$M10,
GrabDownADelay,WORD,$M11,
GrabDownBDelay,WORD,$M12,
GrabDownCDelay,WORD,$M13,
GrabDownDDelay,WORD,$M14,
GrabDropAirDelay,WORD,$M15,
ErrorValue,WORD,$0,
ErrorTemp,WORD,$1,
